object_id,title,category,department,classification,culture,period,object_date,object_begin,object_end,medium,artist_name,artist_nationality,artist_begin,artist_end,accession_year,tags
459028,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,eastern,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; verso: oil and gold on wood,Jacometto (Jacometto Veneziano),Italian,1472,1498,1975,"[""Men"", ""Portraits"", ""Profiles""]"
452102,Damascus Room,western,Islamic Art,Wood,,,dated 1119 AH/1707 CE,1706,1708,"Wood (poplar) with gesso relief, gold and tin leaf, glazes and paint; wood (cypress, poplar, and mulberry), mother-of-pearl, marble and other stones, stucco with glass, plaster ceramic tiles, iron, brass",,,,,1970,
76084,The Bodhisattva Jizō,eastern,Asian Art,Sculpture,Japan,Kamakura period (1185–1333),1291,1291,1291,"Japanese cypress wood (hinoki) with polychrome pigments, gold paint (kindei), cut gold leaf (kirikane), and rock-crystal eyes",Intan,Japanese,1200,1299,2023,
53002,"Shino Tea Bowl with Bridge and Shrine, Known as “Bridge of the Gods” (Shinkyō)",eastern,Asian Art,Ceramics,Japan,Momoyama period (1573–1615),late 16th–early 17th century,1567,1633,"Stoneware with iron oxide under glaze (Mino ware, Shino type)",,,,,2015,
472562,The Fieschi Morgan Staurotheke,western,Medieval Art,Enamels-Cloisonné,Byzantine,,early 9th century,800,835,"Gilded silver, gold, enamel worked in cloisonné, and niello",,,,,1917,"[""Christ"", ""Virgin Mary"", ""Crucifixion"", ""Saints""]"
544173,Statuette of a striding man,western,Egyptian Art,,,Middle Kingdom,ca. 1919–1878 B.C.,-1919,-1878,Greywacke,,,,,1907,"[""Men""]"
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",eastern,Egyptian Art,,,Early Ptolemaic Period,ca. 332–200 B.C.,-332,-200,"Papyrus, ink",,,,,1935,"[""Birds"", ""Lions"", ""Boats"", ""Hieratic""]"
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",eastern,Egyptian Art,,,Early Ptolemaic Period,ca. 332–200 B.C.,-332,-200,"Papyrus, ink",,,,,1935,"[""Birds"", ""Lions"", ""Boats"", ""Hieratic""]"
477499,Jaharis Byzantine Lectionary,eastern,Medieval Art,Manuscripts and Illuminations,Byzantine,,ca. 1100,1100,1100,"Tempera, gold, and ink on parchment; leather binding",,,,,2007,
772738,Nandina,eastern,Asian Art,Paintings,China,,undated,1864,1957,Hanging scroll; ink and color on paper,Qi Baishi,Chinese,1864,1957,2019,
437175,Virgin and Child,eastern,European Paintings,Paintings,,,1670s,1670,1679,Oil on canvas,Bartolomé Estebán Murillo,Spanish,1617,1682,1943,"[""Madonna and Child""]"
206965,Longcase astronomical regulator,eastern,European Sculpture and Decorative Arts,Horology,,,ca. 1768–70,1763,1775,"Case: oak veneered with ebony and brass, with gilt-bronze mounts; Dial: white enamel; Movement: gilded brass and steel",Ferdinand Berthoud,French,1727,1807,1982,
200668,Sabine Houdon (1787–1836),western,European Sculpture and Decorative Arts,Sculpture,,,1788,1788,1788,White marble on gray marble socle,Jean Antoine Houdon,French,1741,1828,1950,"[""Girls"", ""Portraits""]"
437609,The Holy Family with the Young Saint John the Baptist,western,European Paintings,Paintings,,,ca. 1528,1523,1533,Oil on wood,Andrea del Sarto (Andrea d'Agnolo),Italian,1486,1530,1922,"[""Holy Family"", ""Saint John the Baptist"", ""Saint Joseph"", ""Virgin Mary"", ""Jesus""]"
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",eastern,Egyptian Art,,,Early Ptolemaic Period,ca. 332–200 B.C.,-332,-200,"Papyrus, ink",,,,,1935,"[""Birds"", ""Lions"", ""Boats"", ""Hieratic""]"
365313,Hypnerotomachia Poliphili,western,Drawings and Prints,Books,,,December 1499,1499,1499,Printed book with woodcut illustrations,Francesco Colonna,Italian,1453,1517,1923,
310453,Nkishi (community power figure),eastern,The Michael C. Rockefeller Wing,Wood-Sculpture,Songye peoples,,19th–first half of 20th century,1800,1950,"Wood, copper, brass, iron, fiber, snakeskin, leather, fur, feathers, mud, resin",Songye artist and nganga (ritual specialist),,,,1978,"[""Men"", ""Ritual Objects""]"
472562,The Fieschi Morgan Staurotheke,western,Medieval Art,Enamels-Cloisonné,Byzantine,,early 9th century,800,835,"Gilded silver, gold, enamel worked in cloisonné, and niello",,,,,1917,"[""Christ"", ""Virgin Mary"", ""Crucifixion"", ""Saints""]"
900001,Chinese Memory,eastern,Modern and Contemporary Art,Variable Media,,,2005,2005,2005,"Single-channel video, color, silent, 21 min., 12 sec.; vintage television cabinet with permanent oil marker, glass, acrylic, record cover, scroll, antennae, and books",Nam June Paik,"American, born Korea",1932,2006,2024,
436545,Manuel Osorio Manrique de Zuñiga (1784–1792),eastern,European Paintings,Paintings,,,1787–88,1787,1788,Oil on canvas,Goya (Francisco de Goya y Lucientes),Spanish,1746,1828,1949,"[""Birds"", ""Boys"", ""Portraits"", ""Cats""]"
437868,"Don Gaspar de Guzmán (1587–1645), Count-Duke of Olivares",eastern,European Paintings,Paintings,,,ca. 1636 or later,1631,1660,Oil on canvas,Juan Bautista Martínez del Mazo,Spanish,1612,1667,1952,"[""Men"", ""Portraits"", ""Horses""]"
729644,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",western,Drawings and Prints,Prints,,,ca. 1890–96,1885,1895,Type-metal engraving and letterpress,José Guadalupe Posada,Mexican,1852,1913,1946,"[""Skeletons"", ""Women""]"
206965,Longcase astronomical regulator,eastern,European Sculpture and Decorative Arts,Horology,,,ca. 1768–70,1763,1775,"Case: oak veneered with ebony and brass, with gilt-bronze mounts; Dial: white enamel; Movement: gilded brass and steel",Ferdinand Berthoud,French,1727,1807,1982,
317877,Processional Cross,western,The Michael C. Rockefeller Wing,Metal-Sculpture,Northern Highlands region,,14th–15th century,1300,1500,Brass,Northern Highlands artist,,,,1998,
329077,Head of a ruler,eastern,Ancient West Asian Art,,,Early Bronze Age,ca. 2300–2000 BCE,-2300,-2000,Copper alloy,,,,,1947,"[""Heads"", ""Men""]"
437422,Charity,western,European Paintings,Paintings,,,ca. 1630,1625,1635,Oil on canvas,Guido Reni,Italian,1575,1642,1974,"[""Children"", ""Women"", ""Allegory"", ""Nursing""]"
24786,木賊兎図大小揃物 Fittings for a Pair of Swords (<i>Daishō Soroi-Mono</i>),eastern,Arms and Armor,"Sword Furniture-Fittings, Sets of",Japanese,,19th century,1801,1900,"Copper-gold alloy (<i>shakudō</i>), gold, silver, copper-silver alloy (<i>shibuichi</i>), copper",石黒政美 Ishiguro Masayoshi,Japanese,1774,1862,1948,"[""Rabbits""]"
329077,Head of a ruler,eastern,Ancient West Asian Art,,,Early Bronze Age,ca. 2300–2000 BCE,-2300,-2000,Copper alloy,,,,,1947,"[""Heads"", ""Men""]"
459028,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,eastern,Robert Lehman Collection,Paintings,,,ca. 1485–95,1480,1500,Oil on wood; verso: oil and gold on wood,Jacometto (Jacometto Veneziano),Italian,1472,1498,1975,"[""Men"", ""Portraits"", ""Profiles""]"
317877,Processional Cross,western,The Michael C. Rockefeller Wing,Metal-Sculpture,Northern Highlands region,,14th–15th century,1300,1500,Brass,Northern Highlands artist,,,,1998,
329077,Head of a ruler,eastern,Ancient West Asian Art,,,Early Bronze Age,ca. 2300–2000 BCE,-2300,-2000,Copper alloy,,,,,1947,"[""Heads"", ""Men""]"
472562,The Fieschi Morgan Staurotheke,western,Medieval Art,Enamels-Cloisonné,Byzantine,,early 9th century,800,835,"Gilded silver, gold, enamel worked in cloisonné, and niello",,,,,1917,"[""Christ"", ""Virgin Mary"", ""Crucifixion"", ""Saints""]"
471853,Enthroned Virgin and Child,western,The Cloisters,Sculpture,French,,1150–1200,1150,1200,"Walnut with gesso, paint, tin leaf, traces of linen, and possible human remains",,,,,1967,"[""Madonna and Child""]"
438688,Saint Francis,eastern,European Paintings,Paintings,,,ca. 1600–1604,1600,1604,Oil on canvas,Federico Barocci,Italian,1535,1612,2003,"[""Books"", ""Christ"", ""Saint Francis""]"
