object_id,title,category,term_used,department,culture,period,artist,date,object_begin
329073,Seated female,western,divine,Ancient West Asian Art,Bactria-Margiana Archaeological Complex,Bronze Age,,ca. late 3rd–early 2nd millennium BCE,-2250
313658,Female figure (’otua fefine),western,divine,The Michael C. Rockefeller Wing,Ha'apai Islands,,,Early 19th century,1800
552850,Uraeus decoration from shrine,western,divine,Egyptian Art,,New Kingdom–Late Period,,ca. 1550–332 B.C.,-1550
546127,Uraeus fitting from shrine,western,divine,Egyptian Art,,Late Period–Ptolemaic Period,,664–30 B.C.,-664
192770,Saint Bridget of Sweden Receiving the Rule of Her Order,western,divine,European Sculpture and Decorative Arts,,,Agostino d'Antonio di Duccio,1459,1459
195332,Desk (Secretary),western,harmony,European Sculpture and Decorative Arts,,,,ca. 1730–35,1725
248466,Bronze statuette of a philosopher on a lamp stand,western,harmony,Greek and Roman Art,Roman,"Early Imperial, Augustan",,late 1st century BCE,-25
451725,"""The Concourse of the Birds"", Folio 11r from a Mantiq al-Tayr (Language of the Birds)",western,harmony,Islamic Art,,,Habiballah of Sava,ca. 1600,1575
552793,Bust of an Administrator of the Domain of Neit,western,harmony,Egyptian Art,,"Late Period, Saite",,ca. 600 BC,-600
437423,The Immaculate Conception,western,harmony,European Paintings,,,Guido Reni,1627,1627
436836,Allegory of Music,western,harmony,European Paintings,,,Laurent de La Hyre,1649,1649
471730,Saint Michael,western,splendor,The Cloisters,North Spanish,,Master of Belmonte,1450–1500,1450
435817,The Crucifixion with the Virgin and Saint John,western,splendor,European Paintings,,,Hendrick ter Brugghen,ca. 1624–25,1624
201862,Paris,western,splendor,European Sculpture and Decorative Arts,,,Antico (Pier Jacopo Alari Bonacolsi),ca. 1518–1524,1513
816189,"”Abiding nowhere, the awakened mind arises”",eastern,zen,Asian Art,Japan,Kamakura (1185–1333) or Nanbokuchō (1336–92) period,Musō Soseki,early to mid-14th century,1333
53660,Ten Verses on Oxherding,eastern,zen,Asian Art,Japan,Kamakura period (1185–1333),,1278,1185
853194,Daoist Master Fei Zhangfang,eastern,zen,Asian Art,Japan,Muromachi period (1392–1573),Sesson Shūkei,ca. 1555–61,1555
437133,Garden at Sainte-Adresse,eastern,ukiyo,European Paintings,,,Claude Monet,1867,1867
438817,The Dance Class,eastern,ukiyo,European Paintings,,,Edgar Degas,1874,1874
53427,Six Jewel Rivers,eastern,ukiyo,Asian Art,Japan,Edo period (1615–1868),Sakai Ōho,ca. 1839,1829
53449,Six Jewel Rivers from Various Provinces,eastern,ukiyo,Asian Art,Japan,Edo period (1615–1868),Utagawa Hiroshige,1857,1857
437127,Bridge over a Pond of Water Lilies,eastern,ukiyo,European Paintings,,,Claude Monet,1899,1899
436947,Boating,eastern,ukiyo,European Paintings,,,Edouard Manet,1874,1874
53172,"Three Poems from the Collection of Poems Ancient and Modern (Kokin wakashū), one of the Araki Fragments (Araki-gire)",eastern,mono no aware,Asian Art,Japan,Heian period (ca. 900–1185),Fujiwara no Yukinari (Kōzei),11th century,1000
285646,"Volcanic Islands in Mono Lake, California",eastern,mono no aware,Photographs,,,Timothy H. O'Sullivan,1868,1868
55359,Illustration of the Police Superintendent and his men Receiving Wine (Keishi kakutai e sake tamawaru mono no zu),eastern,mono no aware,Asian Art,Japan,Meiji period (1868–1912),Tsukioka Yoshitoshi,September 1877,1877
671001,Standing Courtesan,eastern,mono no aware,Asian Art,Japan,Edo period (1615–1868),Tōsendō Rifū,ca. 1720,1710
24786,木賊兎図大小揃物 Fittings for a Pair of Swords (<i>Daishō Soroi-Mono</i>),eastern,mono no aware,Arms and Armor,Japanese,,石黒政美 Ishiguro Masayoshi,19th century,1801
442488,The Agony in the Garden,eastern,mono no aware,European Paintings,,,Nicolas Poussin,1626–27,1626
436311,Madonna and Child,eastern,mono no aware,European Paintings,,,Vincenzo Foppa,ca. 1480,1475
436180,The Natchez,eastern,mono no aware,European Paintings,,,Eugène Delacroix,1823–24 and 1835,1823
44861,Poem by Kamo no Chōmei with Underpainting of Cherry Blossoms,eastern,mono no aware,Asian Art,Japan,Momoyama period (1573–1615),Hon'ami Kōetsu,1606,1606
53007,Platter (Ōzara) with Pine Tree,eastern,mono no aware,Asian Art,Japan,Momoyama period (1573–1615),,early 17th century,1600
56966,The Actor Segawa Kikunojō III as Wappa no Kikuō in a Woman’s “Asahina Armor Pulling” (Asahina no kusazuri-biki) Scene,eastern,mono no aware,Asian Art,Japan,Edo period (1615–1868),Katsukawa Shunshō　勝川春章,"1780 (An’ei 9), 1st month",1780
436896,Portrait of a Woman with a Man at a Casement,eastern,mono no aware,European Paintings,,,Fra Filippo Lippi,ca. 1440,1435
281977,Mestanskeho Pivovaru,eastern,simplicity,Photographs,,,Patrick Faigenbaum,1994–96,1994
437175,Virgin and Child,eastern,simplicity,European Paintings,,,Bartolomé Estebán Murillo,1670s,1670
53002,"Shino Tea Bowl with Bridge and Shrine, Known as “Bridge of the Gods” (Shinkyō)",eastern,simplicity,Asian Art,Japan,Momoyama period (1573–1615),,late 16th–early 17th century,1567
236688,A Hypocrite and a Slanderer,eastern,simplicity,European Sculpture and Decorative Arts,,,Franz Xaver Messerschmidt,ca. 1770–83,1765
436244,Virgin and Child with Saint Anne,eastern,simplicity,European Paintings,,,Albrecht Dürer,probably 1519,1519
544320,Stela of the Steward Mentuwoser,eastern,impermanence,Egyptian Art,,Middle Kingdom,,ca. 1944 B.C.,-1944
570719,Cat with image of Bastet on breast,eastern,emptiness,Egyptian Art,,Late Period–Ptolemaic Period,,664–30 B.C.,-664
206989,Commode à vantaux,eastern,emptiness,European Sculpture and Decorative Arts,,,David Roentgen,ca. 1775–79 with later alterations,1770
312807,Guaíza,eastern,emptiness,The Michael C. Rockefeller Wing,Taíno,,Taíno artist(s),1200–1500 CE,1200
42188,Seated luohan (arhat) in a grotto,eastern,enlightenment,Asian Art,China,Qing dynasty (1644–1911),,18th century,1700
477499,Jaharis Byzantine Lectionary,eastern,enlightenment,Medieval Art,Byzantine,,,ca. 1100,1100
76084,The Bodhisattva Jizō,eastern,enlightenment,Asian Art,Japan,Kamakura period (1185–1333),Intan,1291,1291
