category,total_artworks,unique_object_ids,scored_artworks,mean_coverage,median_coverage,no_match_count,scoring_rate,no_match_rate,duplicate_rows
eastern,66,66,59,0.592104630262525,0.6333333333333333,7,0.8939393939393939,0.10606060606060606,0
western,67,67,61,0.6652406258749543,0.7142857142857143,6,0.9104477611940298,0.08955223880597014,0
