category,count,mean,median,std,min,max,q1,q3,iqr
<<<<<<< HEAD
Western,61,5.551186135358267,5.511111111111111,0.5425880735484123,3.83,6.86,5.213333333333334,5.91,0.6966666666666663
Eastern,59,5.566046612521189,5.513333333333333,0.6311211345716817,3.82,7.92,5.186666666666667,5.895,0.7083333333333321
=======
western,60,5.541766005291006,5.492698412698411,0.5359799345038262,3.83,6.86,5.222083333333334,5.8815,0.6594166666666661
eastern,29,5.528376722893965,5.512,0.545842335255543,3.82,6.42,5.305000000000001,5.953333333333333,0.6483333333333325
>>>>>>> d3609d5b194e78e1edb494ec7a8beeb20db6b4bf
