category,mean,ci_lower,ci_upper,ci_width
<<<<<<< HEAD
western,5.551186135358267,5.415396797601305,5.686187984647411,0.2707911870461057
eastern,5.566046612521189,5.409187823664095,5.7283143444126505,0.3191265207485552
=======
western,5.541766005291006,5.407897129629629,5.676348162878789,0.26845103324915964
eastern,5.528376722893965,5.321679916156641,5.713118467930536,0.39143855177389497
>>>>>>> d3609d5b194e78e1edb494ec7a8beeb20db6b4bf
