title,category,object_begin,score,matched,total,coverage
Nandina,eastern,1864,,0,1,0.0
Allegory of Music,western,1649,6.48,2,3,0.67
Uraeus decoration from shrine,western,-1550,5.18,1,4,0.25
Panel with Hunting Scenes,western,1350,5.32,4,4,1.0
Heroic Landscape with Rainbow,western,1824,6.83,3,4,0.75
The Dance Class,eastern,1874,5.95,3,3,1.0
Portrait of the Indian Monk Atisha,eastern,1100,5.65,4,6,0.67
Autumn Trees and Grasses by a Stream,eastern,1667,5.96,6,7,0.86
"Volcanic Islands in Mono Lake, California",eastern,1868,6.22,4,6,0.67
Seated luohan (arhat) in a grotto,eastern,1700,5.51,3,6,0.5
The Agony in the Garden,eastern,1626,4.97,5,5,1.0
"Book of the Dead for the Chantress of Amun, Nauny",western,-1050,4.9,7,10,0.7
Chinese Memory,eastern,2005,6.05,2,2,1.0
The Hunters Return to the Castle (from the Unicorn Tapestries),western,1495,5.23,7,10,0.7
"Three Poems from the Collection of Poems Ancient and Modern (Kokin wakashū), one of the Araki Fragments (Araki-gire)",eastern,1000,5.51,14,19,0.74
Arcadia,western,1880,,0,1,0.0
The Coronation of the Virgin,western,1595,5.22,4,5,0.8
"”Abiding nowhere, the awakened mind arises”",eastern,1333,5.33,4,6,0.67
Commode à vantaux,eastern,1770,,0,3,0.0
The Glorification of the Barbaro Family,western,1745,5.66,4,6,0.67
Desk (Secretary),western,1725,5.34,2,2,1.0
Bust of an Administrator of the Domain of Neit,western,-600,4.97,8,9,0.89
Fair Critics,western,1887,5.38,2,2,1.0
木賊兎図大小揃物 Fittings for a Pair of Swords (<i>Daishō Soroi-Mono</i>),eastern,1801,5.51,6,12,0.5
Marie Antoinette in a Park,western,1775,5.85,4,5,0.8
"The Deity Vajrabhairava, Tantric Form of the Bodhisattva Manjushri",eastern,1400,5.04,4,9,0.44
Garden at Sainte-Adresse,eastern,1867,6.06,2,4,0.5
"Charles Maurice de Talleyrand Périgord (1754–1838), Prince de Talleyrand",eastern,1817,5.3,5,10,0.5
Enthroned Virgin and Child,western,1150,6.15,3,4,0.75
"Ono no Komachi: Number Two (Sono ni), from the series Stylish Parodies of the Six Poetic Immortals (Fūryū yatsushi rokkasen)",eastern,1790,5.09,12,20,0.6
Gwandusu,western,1400,,0,1,0.0
Boating,eastern,1874,,0,1,0.0
Cherry Blossoms,eastern,1767,7.04,1,2,0.5
"Don Gaspar de Guzmán (1587–1645), Count-Duke of Olivares",eastern,1631,5.07,5,10,0.5
Saint Michael,western,1450,6.02,2,2,1.0
The Death of the Buddha (Parinirvana),eastern,200,4.11,4,6,0.67
Illustration of the Police Superintendent and his men Receiving Wine (Keishi kakutai e sake tamawaru mono no zu),eastern,1877,5.31,14,18,0.78
Uraeus fitting from shrine,western,-664,5.18,1,4,0.25
