title,artistDisplayName,objectDate,medium,classification,department,culture,period,dynasty,reign,objectName,object_id,is_public_domain,accession_year,analysis_text,text_length,search_term
Marie Antoinette in a Park,Elisabeth Louise Vigée Le Brun,ca. 1780–81,"Black chalk, stumped, and white chalk; framing lines in black chalk",Drawings,Drawings and Prints,,,,,Drawing,824771,True,2019,"Marie Antoinette in a Park Black chalk, stumped, and white chalk; framing lines in black chalk",94,other
Self-Portrait,Salvator Rosa,ca. 1647,Oil on canvas,Paintings,European Paintings,,,,,Painting,437508,True,1921,Self-Portrait Oil on canvas,27,portrait
The Chess Players,Liberale da Verona,ca. 1475,Tempera on wood,Paintings,European Paintings,,,,,"Painting, cassone panel",436884,True,1943,The Chess Players Tempera on wood,33,other
Scene from a Novella,Liberale da Verona,,Tempera on wood,Paintings,European Paintings,,,,,"Painting, cassone panel",436885,True,1986,Scene from a Novella Tempera on wood,36,other
Valentine,Anonymous,1850–70,"Open work, cameo embossed lace paper, colored paper",Ephemera,Drawings and Prints,,,,,Valentine,719806,True,1981,"Valentine Open work, cameo embossed lace paper, colored paper",61,other
Saint Bridget of Sweden Receiving the Rule of Her Order,Agostino d'Antonio di Duccio,1459,Marble,Sculpture,European Sculpture and Decorative Arts,,,,,Relief,192770,True,1914,Saint Bridget of Sweden Receiving the Rule of Her Order Marble,62,other
The Louis XV Room,Jean-François Roumier,"ca. 1720–25, with later additions","Carved, painted and gilded oak",Woodwork,European Sculpture and Decorative Arts,,,,,Paneling,189425,True,1907,"The Louis XV Room Carved, painted and gilded oak",48,other
The Holy Family with the Young Saint John the Baptist,Andrea del Sarto (Andrea d'Agnolo),ca. 1528,Oil on wood,Paintings,European Paintings,,,,,Painting,437609,True,1922,The Holy Family with the Young Saint John the Baptist Oil on wood,65,other
The Composer André-Ernest-Modeste Grétry (1741–1813),Jean-Baptiste Stouf,1804–8,Marble,Sculpture,European Sculpture and Decorative Arts,,,,,Statue,205107,True,1969,The Composer André-Ernest-Modeste Grétry (1741–1813) Marble,59,other
The Penitence of Saint Jerome,Joachim Patinir,ca. 1515,Oil on wood,Paintings,European Paintings,,,,,"Painting, triptych",437261,True,1936,The Penitence of Saint Jerome Oil on wood,41,other
Saint Francis,Federico Barocci,ca. 1600–1604,Oil on canvas,Paintings,European Paintings,,,,,Painting,438688,True,2003,Saint Francis Oil on canvas,27,other
Saints Peter and John Healing the Lame Man,Nicolas Poussin,1655,Oil on canvas,Paintings,European Paintings,,,,,Painting,437330,True,1924,Saints Peter and John Healing the Lame Man Oil on canvas,56,other
Two wall sconces (Bras de cheminée),Jean-Claude Duplessis,ca. 1761,"Soft-paste porcelain decorated in polychrome enamel, gold, gilt bronze",Ceramics-Porcelain,European Sculpture and Decorative Arts,,,,,Wall light sconces,208898,True,1954,"Two wall sconces (Bras de cheminée) Soft-paste porcelain decorated in polychrome enamel, gold, gilt bronze",106,other
Virgin and Child with Four Angels,Gerard David,ca. 1510–15,Oil on wood,Paintings,European Paintings,,,,,Painting,436102,True,1977,Virgin and Child with Four Angels Oil on wood,45,other
The Birth of the Virgin,Fra Carnevale (Bartolomeo di Giovanni Corradini),1467,Tempera and oil on wood,Paintings,European Paintings,,,,,Painting,435848,True,1935,The Birth of the Virgin Tempera and oil on wood,47,other
A Woman with a Dog,Giacomo Ceruti,1740s,Oil on canvas,Paintings,European Paintings,,,,,Painting,435864,True,1930,A Woman with a Dog Oil on canvas,32,other
Saint Philip Neri (1515–1595),Carlo Dolci,1645 or 1646,Oil on canvas,Paintings,European Paintings,,,,,Painting,712539,True,2016,Saint Philip Neri (1515–1595) Oil on canvas,43,other
Six Jewel Rivers from Various Provinces,Utagawa Hiroshige,1857,Six woodblock prints; ink and color on paper,Prints,Asian Art,Japan,Edo period (1615–1868),,,Prints,53449,True,2015,Six Jewel Rivers from Various Provinces Six woodblock prints; ink and color on paper,84,other
Stela of Ptahmose,,ca. 1320–1290 B.C.,Limestone,,Egyptian Art,,New Kingdom,Late Dynasty 18-early Dynasty 19,,"Stela, Ptahmose",549236,True,1967,Stela of Ptahmose Limestone,27,other
Clock watch with astronomical dial and sundial,Jan Jansen Bockeltz,ca. 1605–10,"Case: gilded brass; Dial: gilded brass, silver, and copper; Movement: gilded brass, partly blued steel, and silver",Horology,European Sculpture and Decorative Arts,,,,,Clock watch,194191,True,1917,"Clock watch with astronomical dial and sundial Case: gilded brass; Dial: gilded brass, silver, and copper; Movement: gilded brass, partly blued steel, and silver",161,other
An Egyptian Peasant Woman and Her Child,Léon Bonnat,1869–70,Oil on canvas,Paintings,European Paintings,,,,,Painting,435711,True,1887,An Egyptian Peasant Woman and Her Child Oil on canvas,53,other
Street Story Quilt,Faith Ringgold,1985,"Cotton canvas, acrylic paint, ink marker, dyed and printed cotton, and sequins, sewn to a cotton flannel backing",Textiles,Modern and Contemporary Art,,,,,Painting,485416,False,1990,"Street Story Quilt Cotton canvas, acrylic paint, ink marker, dyed and printed cotton, and sequins, sewn to a cotton flannel backing",131,other
Tabernacle Polyptych with the Madonna and Child and Scenes from the Life of Christ,,ca. 1275–1300,Ivory with traces of original gilding and polychromy; silver hinges.,Ivories,Robert Lehman Collection,Northern France (?),,,,Tabernacle polyptych,460281,True,1975,Tabernacle Polyptych with the Madonna and Child and Scenes from the Life of Christ Ivory with traces of original gilding and polychromy; silver hinges.,151,other
"A radiant female figure beset by dark spirits; page 45 from the ""Images of Spain"" Album (F)",Goya (Francisco de Goya y Lucientes),ca. 1812–20,"Brush and point of brush, brown and gray washes, over touches or chalk",Drawings,Drawings and Prints,,,,,Drawing,334030,True,1935,"A radiant female figure beset by dark spirits; page 45 from the ""Images of Spain"" Album (F) Brush and point of brush, brown and gray washes, over touches or chalk",162,other
Settee (one of a pair) (part of a set),Johann Michael Bauer,ca. 1763–64,"Carved, painted and gilded linden wood; squab pillow in silk velvet (not original)",Woodwork-Lacquer,European Sculpture and Decorative Arts,,,,,Settee,209104,True,1974,"Settee (one of a pair) (part of a set) Carved, painted and gilded linden wood; squab pillow in silk velvet (not original)",121,other
Ten Verses on Oxherding,,1278,Handscroll; ink and color on paper,Paintings,Asian Art,Japan,Kamakura period (1185–1333),,,Handscroll,53660,True,2015,Ten Verses on Oxherding Handscroll; ink and color on paper,58,other
Hat,Schiaparelli,summer 1940,"straw, cotton, silk",,Costume Institute,French,,,,Hat,156596,False,2009,"Hat straw, cotton, silk",23,other
Emperor Antoninus Pius,Antico (Pier Jacopo Alari Bonacolsi),1519–24,"Bronze, partially oil-gilt, silver inlay, on serpentinite socle",Sculpture-Bronze,European Sculpture and Decorative Arts,,,,,Bust,204587,True,1965,"Emperor Antoninus Pius Bronze, partially oil-gilt, silver inlay, on serpentinite socle",86,other
Bronze statuette of a philosopher on a lamp stand,,late 1st century BCE,Bronze,Bronzes,Greek and Roman Art,Roman,"Early Imperial, Augustan",,,"Statuette of philosopher on lamp stand, Hermarchos ?",248466,True,1910,Bronze statuette of a philosopher on a lamp stand Bronze,56,other
Head of Christ,Master of the Orcagnesque Misericordia,,"Tempera on wood, gold ground",Paintings,European Paintings,,,,,Painting,437021,True,1981,"Head of Christ Tempera on wood, gold ground",43,other
