title,artistDisplayName,objectDate,medium,classification,department,culture,period,dynasty,reign,objectName,object_id,is_public_domain,accession_year,analysis_text,text_length,search_term,score,matched,total,coverage,matched_words
"Christ Carrying the Cross, called ""The Lord of the Fall""",Unknown,ca. 1770–75,Oil and gold on canvas,,The American Wing,Peru (Cuzco),,,,Painting,764095,True,2018.0,"Christ Carrying the Cross, called ""The Lord of the Fall"" Oil and gold on canvas",79,other,5.37,14,15,0.9333333333333333,"['christ', 'carrying', 'the', 'cross', 'called', 'the', 'lord', 'of', 'the', 'fall', 'oil', 'and', 'gold', 'on']"
Shoulao,Chantilly,ca. 1735–40,Tin-glazed soft-paste porcelain decorataed in polychrome enamels,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,,,Figure,207247,True,1982.0,Shoulao Tin-glazed soft-paste porcelain decorataed in polychrome enamels,72,other,5.68,3,10,0.3,"['tin', 'soft', 'in']"
Commode à vantaux,David Roentgen,ca. 1775–79 with later alterations,"Oak, pine, walnut, mahogany, and cherry veneered with hornbeam (partially stained), tulipwood, walnut, holly and maple (both partially stained), boxwood, mahogany, and other woods; red brocatelle marble; gilt bronze; iron, steel, and brass",Woodwork-Furniture,European Sculpture and Decorative Arts,,,,,Commode à vantaux,206989,True,1982.0,"Commode à vantaux Oak, pine, walnut, mahogany, and cherry veneered with hornbeam (partially stained), tulipwood, walnut, holly and maple (both partially stained), boxwood, mahogany, and other woods; red brocatelle marble; gilt bronze; iron, steel, and brass",257,other,5.365882352941177,17,36,0.4722222222222222,"['oak', 'and', 'cherry', 'with', 'partially', 'stained', 'and', 'both', 'partially', 'stained', 'and', 'other', 'woods', 'red', 'iron', 'steel', 'and']"
Musk Cat,Uto Gyoshi,mid- to late 16th century,Hanging scroll; ink and color on paper,Paintings,Asian Art,Japan,Muromachi period (1392–1573),,,Hanging scroll,53222,True,2015.0,Musk Cat Hanging scroll; ink and color on paper,47,other,5.657142857142857,7,9,0.7777777777777778,"['cat', 'hanging', 'ink', 'and', 'color', 'on', 'paper']"
Our Lady of Valvanera,Unknown,ca. 1770–80,Oil and gold on canvas,,The American Wing,Peru (Cuzco),,,,Painting,764091,True,2018.0,Our Lady of Valvanera Oil and gold on canvas,44,other,5.8342857142857145,7,9,0.7777777777777778,"['our', 'lady', 'of', 'oil', 'and', 'gold', 'on']"
Saint Christopher and the Infant Christ,Domenico Ghirlandaio (Domenico Bigordi),,Fresco,Paintings,European Paintings,,,,,Painting,436492,True,1880.0,Saint Christopher and the Infant Christ Fresco,46,other,5.859999999999999,6,7,0.8571428571428571,"['saint', 'christopher', 'and', 'the', 'infant', 'christ']"
Domestic Tourism I: Felucca,Maha Maamoun,2005,Chromogenic print,Photographs,Modern and Contemporary Art,,,,,Photograph,749503,False,2018.0,Domestic Tourism I: Felucca Chromogenic print,45,other,5.546666666666667,3,6,0.5,"['domestic', 'i', 'print']"
Head from a Statue of King Amenhotep I,,ca. 1525–1504 B.C.,"Sandstone, paint",,Egyptian Art,,New Kingdom,Dynasty 18,reign of Amenhotep I,"Head, Amenhotep I",544453,True,1926.0,"Head from a Statue of King Amenhotep I Sandstone, paint",55,other,5.674285714285714,7,10,0.7,"['head', 'from', 'a', 'of', 'king', 'i', 'paint']"
"Capital with Angels Holding the Veil of Saint Veronica, with a Column",,ca. 1325–75,Limestone with traces of polychromy,Sculpture-Architectural,Medieval Art,North Italian,,,,Column,466085,True,1981.0,"Capital with Angels Holding the Veil of Saint Veronica, with a Column Limestone with traces of polychromy",105,other,5.64,13,17,0.7647058823529411,"['capital', 'with', 'angels', 'holding', 'the', 'veil', 'of', 'saint', 'with', 'a', 'column', 'with', 'of']"
"Charles Maurice de Talleyrand Périgord (1754–1838), Prince de Talleyrand",Pierre Paul Prud'hon,1817,Oil on canvas,Paintings,European Paintings,,,,,Painting,437340,True,1994.0,"Charles Maurice de Talleyrand Périgord (1754–1838), Prince de Talleyrand Oil on canvas",86,other,5.277142857142857,7,13,0.5384615384615384,"['charles', 'maurice', 'de', 'prince', 'de', 'oil', 'on']"
Portrait of a Man in Armor with Two Pages,Paris Bordon,,Oil on canvas,Paintings,European Paintings,,,,,Painting,435722,True,1973.0,Portrait of a Man in Armor with Two Pages Oil on canvas,55,portrait,5.518,10,12,0.8333333333333334,"['portrait', 'of', 'a', 'man', 'in', 'with', 'two', 'pages', 'oil', 'on']"
Tomb Chapel of Raemkai,,ca. 2446–2389 B.C.,"Limestone, paint",,Egyptian Art,,Old Kingdom,Dynasty 5,,"Relief, tomb chapel, Raemkai, offerings, estates, agriculture, hunt, clapnet",590874,True,1908.0,"Tomb Chapel of Raemkai Limestone, paint",39,other,5.075,4,6,0.6666666666666666,"['tomb', 'chapel', 'of', 'paint']"
Bamboo in Snow,Dapeng Zhengkun (Taihō Shōkon),1774,Pair of hanging scrolls; ink on silk,Paintings,Asian Art,Japan,Edo period (1615–1868),,,Hanging scrolls,49068,True,1975.0,Bamboo in Snow Pair of hanging scrolls; ink on silk,51,other,5.550000000000001,8,10,0.8,"['in', 'snow', 'pair', 'of', 'hanging', 'ink', 'on', 'silk']"
"Relief from the tomb of Bakenrenef, wall from small room with texts and niches",,664–610 B.C.,"Limestone, paint",,Egyptian Art,,"Late Period, Saite",Dynasty 26,reign of Psamtik I,"Relief, Tomb of Bakenrenef",623395,True,1911.0,"Relief from the tomb of Bakenrenef, wall from small room with texts and niches Limestone, paint",95,other,5.284615384615384,13,16,0.8125,"['relief', 'from', 'the', 'tomb', 'of', 'wall', 'from', 'small', 'room', 'with', 'texts', 'and', 'paint']"
