title,artistDisplayName,objectDate,medium,classification,department,culture,period,dynasty,reign,objectName,object_id,is_public_domain,accession_year,analysis_text,text_length,search_term,score,matched,total,coverage,matched_words
Portrait of a Woman with a Man at a Casement,Fra Filippo Lippi,ca. 1440,Tempera on wood,Paintings,European Paintings,,,,,Painting,436896,True,1889.0,Portrait of a Woman with a Man at a Casement Tempera on wood,60,portrait,5.641818181818182,11,13,0.8461538461538461,"['portrait', 'of', 'a', 'woman', 'with', 'a', 'man', 'at', 'a', 'on', 'wood']"
Ia Orana Maria (Hail Mary),Paul Gauguin,1891,Oil on canvas,Paintings,European Paintings,,,,,Painting,438821,True,1951.0,Ia Orana Maria (Hail Mary) Oil on canvas,40,other,5.356,5,8,0.625,"['maria', 'hail', 'mary', 'oil', 'on']"
Stela with Taweret and Mut of Isheru,,ca. 1390–1352 BCE,"Limestone, paint",,Egyptian Art,,New Kingdom,Dynasty 18,reign of  Amenhotep III,"Stela, Taweret, Mut",544499,True,1947.0,"Stela with Taweret and Mut of Isheru Limestone, paint",53,other,5.545,4,9,0.4444444444444444,"['with', 'and', 'of', 'paint']"
Allegory of Music,Laurent de La Hyre,1649,Oil on canvas,Paintings,European Paintings,,,,,Painting,436836,True,1950.0,Allegory of Music Oil on canvas,31,other,5.85,4,6,0.6666666666666666,"['of', 'music', 'oil', 'on']"
Virgin and Child,,ca. 1275–1300,Elephant ivory with paint,Ivories-Elephant,Medieval Art,French,,,,Statuette,464294,True,1917.0,Virgin and Child Elephant ivory with paint,42,other,6.096,5,7,0.7142857142857143,"['virgin', 'and', 'child', 'with', 'paint']"
Damascus Room,,dated 1119 AH/1707 CE,"Wood (poplar) with gesso relief, gold and tin leaf, glazes and paint; wood (cypress, poplar, and mulberry), mother-of-pearl, marble and other stones, stucco with glass, plaster ceramic tiles, iron, brass",Wood,Islamic Art,,,,,Period room,452102,True,1970.0,"Damascus Room Wood (poplar) with gesso relief, gold and tin leaf, glazes and paint; wood (cypress, poplar, and mulberry), mother-of-pearl, marble and other stones, stucco with glass, plaster ceramic tiles, iron, brass",217,other,5.8447619047619055,21,34,0.6176470588235294,"['room', 'wood', 'with', 'relief', 'gold', 'and', 'tin', 'leaf', 'and', 'paint', 'wood', 'and', 'mother', 'of', 'pearl', 'and', 'other', 'stones', 'with', 'glass', 'iron']"
"""The Concourse of the Birds"", Folio 11r from a Mantiq al-Tayr (Language of the Birds)",Habiballah of Sava,ca. 1600,"Ink, opaque watercolor, gold, and silver on paper",Codices,Islamic Art,,,,,Folio from an illustrated manuscript,451725,True,1963.0,"""The Concourse of the Birds"", Folio 11r from a Mantiq al-Tayr (Language of the Birds) Ink, opaque watercolor, gold, and silver on paper",135,other,5.6894117647058815,17,24,0.7083333333333334,"['the', 'of', 'the', 'birds', 'from', 'a', 'al', 'language', 'of', 'the', 'birds', 'ink', 'gold', 'and', 'silver', 'on', 'paper']"
Marie Antoinette in a Park,Elisabeth Louise Vigée Le Brun,ca. 1780–81,"Black chalk, stumped, and white chalk; framing lines in black chalk",Drawings,Drawings and Prints,,,,,Drawing,824771,True,2019.0,"Marie Antoinette in a Park Black chalk, stumped, and white chalk; framing lines in black chalk",94,other,5.542,10,16,0.625,"['marie', 'in', 'a', 'park', 'black', 'and', 'white', 'lines', 'in', 'black']"
Self-Portrait,Salvator Rosa,ca. 1647,Oil on canvas,Paintings,European Paintings,,,,,Painting,437508,True,1921.0,Self-Portrait Oil on canvas,27,portrait,5.7749999999999995,4,5,0.8,"['self', 'portrait', 'oil', 'on']"
The Chess Players,Liberale da Verona,ca. 1475,Tempera on wood,Paintings,European Paintings,,,,,"Painting, cassone panel",436884,True,1943.0,The Chess Players Tempera on wood,33,other,5.772,5,6,0.8333333333333334,"['the', 'chess', 'players', 'on', 'wood']"
Scene from a Novella,Liberale da Verona,,Tempera on wood,Paintings,European Paintings,,,,,"Painting, cassone panel",436885,True,1986.0,Scene from a Novella Tempera on wood,36,other,5.595999999999999,5,7,0.7142857142857143,"['scene', 'from', 'a', 'on', 'wood']"
Valentine,Anonymous,1850–70,"Open work, cameo embossed lace paper, colored paper",Ephemera,Drawings and Prints,,,,,Valentine,719806,True,1981.0,"Valentine Open work, cameo embossed lace paper, colored paper",61,other,6.014285714285714,7,9,0.7777777777777778,"['valentine', 'open', 'work', 'lace', 'paper', 'colored', 'paper']"
Saint Bridget of Sweden Receiving the Rule of Her Order,Agostino d'Antonio di Duccio,1459,Marble,Sculpture,European Sculpture and Decorative Arts,,,,,Relief,192770,True,1914.0,Saint Bridget of Sweden Receiving the Rule of Her Order Marble,62,other,5.51111111111111,9,11,0.8181818181818182,"['saint', 'of', 'sweden', 'receiving', 'the', 'rule', 'of', 'her', 'order']"
The Louis XV Room,Jean-François Roumier,"ca. 1720–25, with later additions","Carved, painted and gilded oak",Woodwork,European Sculpture and Decorative Arts,,,,,Paneling,189425,True,1907.0,"The Louis XV Room Carved, painted and gilded oak",48,other,5.531428571428571,7,9,0.7777777777777778,"['the', 'louis', 'room', 'carved', 'painted', 'and', 'oak']"
The Holy Family with the Young Saint John the Baptist,Andrea del Sarto (Andrea d'Agnolo),ca. 1528,Oil on wood,Paintings,European Paintings,,,,,Painting,437609,True,1922.0,The Holy Family with the Young Saint John the Baptist Oil on wood,65,other,5.8133333333333335,12,13,0.9230769230769231,"['the', 'holy', 'family', 'with', 'the', 'young', 'saint', 'john', 'the', 'oil', 'on', 'wood']"
The Composer André-Ernest-Modeste Grétry (1741–1813),Jean-Baptiste Stouf,1804–8,Marble,Sculpture,European Sculpture and Decorative Arts,,,,,Statue,205107,True,1969.0,The Composer André-Ernest-Modeste Grétry (1741–1813) Marble,59,other,5.7,2,9,0.2222222222222222,"['the', 'composer']"
The Penitence of Saint Jerome,Joachim Patinir,ca. 1515,Oil on wood,Paintings,European Paintings,,,,,"Painting, triptych",437261,True,1936.0,The Penitence of Saint Jerome Oil on wood,41,other,5.397142857142858,7,8,0.875,"['the', 'of', 'saint', 'jerome', 'oil', 'on', 'wood']"
